
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr sdnu.edu.cn @shihun.sdnu.edu.cn.
;; global options: +cmd
shihun.sdnu.edu.cn.	86400	IN	A	210.44.8.88
www.lsxy1.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.zzb.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.msxy.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.wlxnsyzx.sdnu.edu.cn. 86400	IN	A	210.44.14.17
www.zyfw.sdnu.edu.cn.	86400	IN	A	210.44.8.21
www.dgdz.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.swx.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.caiwuchu.sdnu.edu.cn. 86400	IN	A	210.44.8.18
www.ddh.sdnu.edu.cn.	86400	IN	A	210.44.8.21
www.psy.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.ty.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.cbxy.sdnu.edu.cn.	86400	IN	A	210.44.4.10
proxy1.sdnu.edu.cn.	86400	IN	CNAME	proxy.sdnu.edu.cn.
www.sdps.sdnu.edu.cn.	86400	IN	A	210.44.6.250
www.gdwxh.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.oldxcb.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.acmicpc.sdnu.edu.cn. 86400	IN	A	210.44.3.22
www.maths1.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.jky.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.jstu.sdnu.edu.cn.	86400	IN	A	122.200.98.9
www.sdxcgl.sdnu.edu.cn.	86400	IN	A	210.44.8.27
ecard.sdnu.edu.cn.	86400	IN	A	210.44.8.56
www.hxzdsys.sdnu.edu.cn. 86400	IN	A	210.44.8.25
www.jiwei.sdnu.edu.cn.	86400	IN	A	210.44.14.16
hr.sdnu.edu.cn.		86400	IN	A	210.44.8.41
www.sme.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.gspxzx.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.hospital.sdnu.edu.cn. 86400	IN	A	210.44.8.26
www.wsjf.sdnu.edu.cn.	86400	IN	A	210.44.2.131
www.east.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.dwgk.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.jgdw.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.hqc.sdnu.edu.cn.	86400	IN	A	210.44.8.26
msg.sdnu.edu.cn.	86400	IN	A	210.44.8.49
www.yjsdy.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.xjxjy.sdnu.edu.cn.	86400	IN	A	210.44.0.107
www.gbjy.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.mta.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.music.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.csdream.sdnu.edu.cn. 86400	IN	A	210.44.0.2
www.maths.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.gzb.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.xcb.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.snh.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.gdwx.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.vsc.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.jyrj.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.jxjy.sdnu.edu.cn.	86400	IN	A	111.17.194.233
www.jcjykc.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.oipold.sdnu.edu.cn.	86400	IN	A	210.44.2.26
www.sygl.sdnu.edu.cn.	86400	IN	A	210.44.14.1
