
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bisu.edu.cn @dns2.bisu.edu.cn.
;; global options: +cmd
youth.bisu.edu.cn.	3600	IN	A	123.127.226.252
zhaopin.bisu.edu.cn.	3600	IN	A	123.127.226.248
zhaosheng.bisu.edu.cn.	3600	IN	A	123.127.226.252
zhaosheng.bisu.edu.cn.	3600	IN	A	211.71.192.77
zs.bisu.edu.cn.		3600	IN	A	123.127.226.252
zsjy.bisu.edu.cn.	3600	IN	A	202.106.114.11
bisu.edu.cn.		3600	IN	SOA	dns2.bisu.edu.cn. root.bisu.edu.cn. 2015012002 30 30 360 3600
;; Query time: 32 msec
;; SERVER: 123.127.226.210#53(123.127.226.210)
;; WHEN: Mon Feb 16 23:21:42 2015
;; XFR size: 139 records (messages 1, bytes 3104)

