
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
dzyjs.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
easyroad.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
ecc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ecmse.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
egd.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
egw.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
electrochem.bjut.edu.cn. 3600	IN	NS	linkproof.bjut.edu.cn.
em.bjut.edu.cn.		3600	IN	CNAME	www104.bjut.edu.cn.
emails.bjut.edu.cn.	3600	IN	MX	10 egw.bjut.edu.cn.
emails.bjut.edu.cn.	3600	IN	A	202.112.78.226
emconference.bjut.edu.cn. 3600	IN	CNAME	www104.bjut.edu.cn.
energy.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
english.bjut.edu.cn.	3600	IN	CNAME	www.bjut.edu.cn.
eol.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
erc.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
ercdc.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
essi.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
etc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
etcee.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ets.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
experimentcenter.bjut.edu.cn. 3600 IN	NS	linkproof.bjut.edu.cn.
f5.bjut.edu.cn.		3600	IN	CNAME	linkproof.bjut.edu.cn.
fgx-hc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ftp.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
fwjd.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
fzghc.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
gcsxpt.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gdfx.bjut.edu.cn.	3600	IN	A	219.239.98.8
gdjwgl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gdxlsg.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gdxy.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gecu.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ghjk.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gis.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gjsdb.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gonghui.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
gprs.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
graduate.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
grid.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gtwjg.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
guofuedu.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
gxjc.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
gzc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
health.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
hellogd.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
hnxy.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
hpc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
hpcport.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
iams.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
icycs05.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
iepp.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
Imp.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
impm.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
impme.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
infosec.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
international.bjut.edu.cn. 3600	IN	CNAME	btech-international.bjut.edu.cn.
ir.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
ire.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
ise.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
